DocID     RunID       Language Metatype GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V8J7 example-run RUS      Relation cluster-NILR22182 cluster-NILR22182 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22183 cluster-NILR22183 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22184 cluster-NILR22184 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22185 cluster-NILR22185 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22186 cluster-NILR22186 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22187 cluster-NILR22187 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22189 cluster-NILR22189 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22190 cluster-NILR22190 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22191 cluster-NILR22191 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22192 cluster-NILR22192 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22193 cluster-NILR22193 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22194 cluster-NILR22194 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22195 cluster-NILR22195 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22196 cluster-NILR22196 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22197 cluster-NILR22197 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Relation cluster-NILR22198 cluster-NILR22198 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21055 cluster-NILV21055 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21056 cluster-NILV21056 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21057 cluster-NILV21057 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21058 cluster-NILV21058 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21059 cluster-NILV21059 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21060 cluster-NILV21060 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21061 cluster-NILV21061 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21062 cluster-NILV21062 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21063 cluster-NILV21063 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21064 cluster-NILV21064 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21065 cluster-NILV21065 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21066 cluster-NILV21066 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21068 cluster-NILV21068 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21069 cluster-NILV21069 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21070 cluster-NILV21070 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21071 cluster-NILV21071 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21072 cluster-NILV21072 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21073 cluster-NILV21073 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21074 cluster-NILV21074 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21075 cluster-NILV21075 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21076 cluster-NILV21076 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Event    cluster-NILV21077 cluster-NILV21077 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21055 cluster-NILR21055 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21056 cluster-NILR21056 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21057 cluster-NILR21057 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21058 cluster-NILR21058 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21059 cluster-NILR21059 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21060 cluster-NILR21060 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21061 cluster-NILR21061 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21062 cluster-NILR21062 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21063 cluster-NILR21063 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21064 cluster-NILR21064 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21066 cluster-NILR21066 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21067 cluster-NILR21067 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21068 cluster-NILR21068 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21069 cluster-NILR21069 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21070 cluster-NILR21070 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21071 cluster-NILR21071 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21072 cluster-NILR21072 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21073 cluster-NILR21073 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21074 cluster-NILR21074 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21075 cluster-NILR21075 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21076 cluster-NILR21076 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21077 cluster-NILR21077 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21078 cluster-NILR21078 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21079 cluster-NILR21079 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21080 cluster-NILR21080 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21081 cluster-NILR21081 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21082 cluster-NILR21082 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21084 cluster-NILR21084 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21085 cluster-NILR21085 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21086 cluster-NILR21086 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21087 cluster-NILR21087 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21088 cluster-NILR21088 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21089 cluster-NILR21089 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21090 cluster-NILR21090 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21091 cluster-NILR21091 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21092 cluster-NILR21092 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21093 cluster-NILR21093 1.0000 1.0000 1.0000
