DocID     RunID       GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V9U9 example-run cluster-NILV20068 cluster-NILV20068 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20069 cluster-NILV20069 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20070 cluster-NILV20070 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20071 cluster-NILV20071 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20072 cluster-NILV20072 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20073 cluster-NILV20073 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20074 cluster-NILV20074 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20075 cluster-NILV20075 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20076 cluster-NILV20076 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20077 cluster-NILV20077 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20078 cluster-NILV20078 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20079 cluster-NILV20079 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20080 cluster-NILV20080 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20081 cluster-NILV20081 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20082 cluster-NILV20082 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20083 cluster-NILV20083 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20084 cluster-NILV20084 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20085 cluster-NILV20085 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20086 cluster-NILV20086 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20087 cluster-NILV20087 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20088 cluster-NILV20088 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20089 cluster-NILV20089 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILV20090 cluster-NILV20090 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20310 cluster-NILE20310 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20311 cluster-NILE20311 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20312 cluster-NILE20312 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20313 cluster-NILE20313 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20314 cluster-NILE20314 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20315 cluster-NILE20315 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20316 cluster-NILE20316 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20317 cluster-NILE20317 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20318 cluster-NILE20318 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20319 cluster-NILE20319 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20320 cluster-NILE20320 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20321 cluster-NILE20321 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20322 cluster-NILE20322 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20323 cluster-NILE20323 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20324 cluster-NILE20324 1.0000 1.0000 1.0000
