slot_type_code	slot_type
evt042arg02recipient	Contact.Prevarication_Recipient
evt043arg02recipient	Contact.Prevarication.Broadcast_Recipient
evt044arg02recipient	Contact.Prevarication.Correspondence_Recipient
evt045arg02recipient	Contact.Prevarication.Meet_Recipient
evt046arg02recipient	Contact.PublicStatementInPerson_Recipient
evt047arg02recipient	Contact.PublicStatementInPerson.Broadcast_Recipient
evt048arg02recipient	Contact.RequestAdvise_Recipient
evt049arg02recipient	Contact.RequestAdvise.Broadcast_Recipient
evt050arg02recipient	Contact.RequestAdvise.Correspondence_Recipient
evt051arg02recipient	Contact.RequestAdvise.Meet_Recipient
evt052arg02recipient	Contact.ThreatenCoerce_Recipient
evt053arg02recipient	Contact.ThreatenCoerce.Broadcast_Recipient
evt054arg02recipient	Contact.ThreatenCoerce.Correspondence_Recipient
evt055arg02recipient	Contact.ThreatenCoerce.Meet_Recipient
evt057arg02vehicle	Disaster.AccidentCrash.AccidentCrash_Vehicle
evt059arg02instrument	Disaster.FireExplosion.FireExplosion_Instrument
evt060arg02participant	Government.Agreements_Participant
evt061arg02participant	Government.Agreements.AcceptAgreementContractCeasefire_Participant
evt062arg02otherparticipant	Government.Agreements.RejectNullifyAgreementContractCeasefire_OtherParticipant
evt063arg02otherparticipant	Government.Agreements.ViolateAgreement_OtherParticipant
evt064arg02founder	Government.Formation_Founder
evt065arg02participant	Government.Formation.MergeGPE_Participant
evt066arg02founder	Government.Formation.StartGPE_Founder
evt068arg02law	Government.Legislate.Legislate_Law
evt070arg02observedentity	Government.Spy.Spy_ObservedEntity
evt071arg02candidate	Government.Vote_Candidate
evt072arg02candidate	Government.Vote.CastVote_Candidate
evt073arg02voter	Government.Vote.ViolationsPreventVote_Voter
evt074arg02observedentity	Inspection.SensoryObserve_ObservedEntity
evt075arg02inspectedentity	Inspection.SensoryObserve.InspectPeopleOrganization_InspectedEntity
evt076arg02monitoredentity	Inspection.SensoryObserve.MonitorElection_MonitoredEntity
evt077arg02inspectedentity	Inspection.SensoryObserve.PhysicalInvestigateInspect_InspectedEntity
evt079arg02detainee	Justice.ArrestJailDetain.ArrestJailDetain_Detainee
evt080arg02defendant	Justice.InitiateJudicialProcess_Defendant
evt081arg02defendant	Justice.InitiateJudicialProcess.ChargeIndict_Defendant
evt082arg02defendant	Justice.InitiateJudicialProcess.TrialHearing_Defendant
evt083arg02defendant	Justice.Investigate_Defendant
evt084arg02defendant	Justice.Investigate.InvestigateCrime_Defendant
evt085arg02defendant	Justice.JudicialConsequences_Defendant
evt086arg02defendant	Justice.JudicialConsequences.Convict_Defendant
evt087arg02defendant	Justice.JudicialConsequences.Execute_Defendant
evt088arg02defendant	Justice.JudicialConsequences.Extradite_Defendant
evt089arg02place	Life.Die_Place
evt090arg02victim	Life.Die.DeathCausedByViolentEvents_Victim
evt091arg02place	Life.Die.NonviolentDeath_Place
evt092arg02injurer	Life.Injure_Injurer
evt093arg02place	Life.Injure.IllnessDegradationHungerThirst_Place
evt095arg02victim	Life.Injure.InjuryCausedByViolentEvents_Victim
evt096arg02artifact	Manufacture.Artifact_Artifact
evt097arg02artifact	Manufacture.Artifact.Build_Artifact
evt098arg02artifact	Manufacture.Artifact.CreateIntellectualProperty_Artifact
evt099arg02artifact	Manufacture.Artifact.CreateManufacture_Artifact
evt100arg02artifact	Movement.TransportArtifact_Artifact
evt101arg02artifact	Movement.TransportArtifact.BringCarryUnload_Artifact
evt102arg02artifact	Movement.TransportArtifact.DisperseSeparate_Artifact
evt103arg02origin	Movement.TransportArtifact.Fall_Origin
evt104arg02artifact	Movement.TransportArtifact.GrantEntry_Artifact
evt105arg02artifact	Movement.TransportArtifact.Hide_Artifact
evt106arg02artifact	Movement.TransportArtifact.NonviolentThrowLaunch_Artifact
evt107arg02transporter	Movement.TransportArtifact.PreventEntry_Transporter
evt108arg02transporter	Movement.TransportArtifact.PreventExit_Transporter
evt109arg02artifact	Movement.TransportArtifact.ReceiveImport_Artifact
evt110arg02artifact	Movement.TransportArtifact.SendSupplyExport_Artifact
evt111arg02artifact	Movement.TransportArtifact.SmuggleExtract_Artifact
evt112arg02passenger	Movement.TransportPerson_Passenger
evt113arg02passenger	Movement.TransportPerson.BringCarryUnload_Passenger
evt114arg02passenger	Movement.TransportPerson.DisperseSeparate_Passenger
evt115arg02passenger	Movement.TransportPerson.EvacuationRescue_Passenger
evt116arg02origin	Movement.TransportPerson.Fall_Origin
evt117arg02transporter	Movement.TransportPerson.GrantEntryAsylum_Transporter
evt118arg02passenger	Movement.TransportPerson.Hide_Passenger
evt119arg02transporter	Movement.TransportPerson.PreventEntry_Transporter
evt120arg02transporter	Movement.TransportPerson.PreventExit_Transporter
evt121arg02vehicle	Movement.TransportPerson.SelfMotion_Vehicle
evt122arg02passenger	Movement.TransportPerson.SmuggleExtract_Passenger
evt123arg02candidate	Personnel.Elect_Candidate
evt124arg02candidate	Personnel.Elect.WinElection_Candidate
evt125arg02placeofemployment	Personnel.EndPosition_PlaceOfEmployment
evt126arg02placeofemployment	Personnel.EndPosition.FiringLayoff_PlaceOfEmployment
evt127arg02placeofemployment	Personnel.EndPosition.QuitRetire_PlaceOfEmployment
evt128arg02placeofemployment	Personnel.StartPosition_PlaceOfEmployment
evt129arg02placeofemployment	Personnel.StartPosition.Hiring_PlaceOfEmployment
evt130arg02participant	Transaction.Transaction_Participant
evt131arg02giver	Transaction.Transaction.EmbargoSanction_Giver
evt132arg02recipient	Transaction.Transaction.GiftGrantProvideAid_Recipient
evt133arg02recipient	Transaction.TransferMoney_Recipient
evt134arg02recipient	Transaction.TransferMoney.BorrowLend_Recipient
evt135arg02giver	Transaction.TransferMoney.EmbargoSanction_Giver
evt136arg02recipient	Transaction.TransferMoney.GiftGrantProvideAid_Recipient
evt137arg02recipient	Transaction.TransferMoney.PayForService_Recipient
evt138arg02recipient	Transaction.TransferMoney.Purchase_Recipient
evt139arg02recipient	Transaction.TransferOwnership_Recipient
evt140arg02recipient	Transaction.TransferOwnership.BorrowLend_Recipient
evt141arg02giver	Transaction.TransferOwnership.EmbargoSanction_Giver
evt142arg02recipient	Transaction.TransferOwnership.GiftGrantProvideAid_Recipient
evt143arg02recipient	Transaction.TransferOwnership.Purchase_Recipient
evt144arg02recipient	Transaction.Transaction.TransferControl_Recipient
evt001arg03instrument	ArtifactExistence.DamageDestroy_Instrument
evt002arg03instrument	ArtifactExistence.DamageDestroy.Damage_Instrument
evt003arg03instrument	ArtifactExistence.DamageDestroy.Destroy_Instrument
evt004arg03instrument	Conflict.Attack_Instrument
evt005arg03instrument	Conflict.Attack.AirstrikeMissileStrike_Instrument
evt006arg03instrument	Conflict.Attack.BiologicalChemicalPoisonAttack_Instrument
evt007arg03instrument	Conflict.Attack.Bombing_Instrument
evt008arg03instrument	Conflict.Attack.FirearmAttack_Instrument
evt009arg03instrument	Conflict.Attack.Hanging_Instrument
evt010arg03instrument	Conflict.Attack.Invade_Instrument
evt011arg03instrument	Conflict.Attack.SelfDirectedBattle_Instrument
evt012arg03instrument	Conflict.Attack.SetFire_Instrument
evt013arg03instrument	Conflict.Attack.Stabbing_Instrument
evt014arg03instrument	Conflict.Attack.StealRobHijack_Instrument
