DocID     RunID             Language Metatype GoldClusterID      SystemClusterID   TypeSimilarity
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33265 cluster-NILE30109         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33272 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33278 cluster-NILE30135         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33285 cluster-NILE30111         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33293 cluster-NILE30114         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33300 cluster-NILE30113         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33314 cluster-NILE30112         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33322 cluster-NILE30115         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33329 cluster-NILE30116         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33343 cluster-NILE30118         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33357 cluster-NILE30120         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33362 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33369 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33382 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33389 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33397 cluster-NILE30126         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33402 cluster-NILE30127         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33421 cluster-NILE30100         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33437 cluster-NILE30097         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33442 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33451 cluster-NILE30104         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33457 cluster-NILE30128         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33469 cluster-NILE30130         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33476 cluster-NILE30129         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33482 cluster-NILE30131         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33490 cluster-NILE30132         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33498 cluster-NILE30133         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33505 cluster-NILE30134         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33516 cluster-NILE30110         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33529 cluster-NILE30137         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33536 cluster-NILE30138         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33541 cluster-NILE30139         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33546 cluster-NILE30140         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33550 cluster-NILE30141         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33557 cluster-NILE30142         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33566 cluster-NILE30143         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33570 cluster-NILE30144         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33578 cluster-NILE30145         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33583 cluster-NILE30147         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33587 cluster-NILE30146         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33592 cluster-NILE30151         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33598 cluster-NILE30150         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33604 cluster-NILE30152         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33610 cluster-NILE30148         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33615 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33621 cluster-NILE30153         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33626 cluster-NILE30154         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33631 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33637 cluster-NILE30177         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33641 cluster-NILE30178         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33655 cluster-NILE30179         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33662 cluster-NILE30180         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33665 cluster-NILE30231         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33671 cluster-NILE30232         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33676 cluster-NILE30233         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33679 cluster-NILE30234         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33685 cluster-NILE30235         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33691 cluster-NILE30236         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33696 cluster-NILE30237         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33712 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33721 cluster-NILE30071         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33724 cluster-Q50036698         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33728 cluster-NILE30093         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33735 cluster-NILE30161         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33738 cluster-NILE30160         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33740 cluster-NILE30162         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33741 cluster-NILE30163         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33747 cluster-NILE30117         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33752 cluster-NILE30156         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33757 cluster-NILE30136         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33763 cluster-NILE30090         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33778 cluster-NILE30157         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33783 cluster-NILE30158         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33786 cluster-NILE30159         1.0000
